order_date_col,order categorical feature 1,order categorical feature 2,order categorical feature 3,join_col
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #6443,order categorical feature 3 #77,2539
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #6443,order categorical feature 3 #420,7519
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #1093,order categorical feature 3 #413,7375
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #943,order categorical feature 3 #494,8546
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #509,order categorical feature 3 #141,3765
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #132,order categorical feature 3 #227,4040
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #6888,order categorical feature 3 #347,9686
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #6888,order categorical feature 3 #439,5302
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #1143,order categorical feature 3 #135,7619
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #2864,order categorical feature 3 #253,9662
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #6631,order categorical feature 3 #253,9660
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #1241,order categorical feature 3 #312,9697
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #6675,order categorical feature 3 #15,9250
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #2655,order categorical feature 3 #415,3112
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #4611,order categorical feature 3 #482,7402
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #4611,order categorical feature 3 #180,7513
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #4611,order categorical feature 3 #498,3784
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #7299,order categorical feature 3 #297,8289
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #7299,order categorical feature 3 #191,6366
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #7299,order categorical feature 3 #196,4559
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #2327,order categorical feature 3 #70,8572
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #2327,order categorical feature 3 #147,2854
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #6758,order categorical feature 3 #79,422
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #6758,order categorical feature 3 #41,536
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #243,order categorical feature 3 #217,9556
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #243,order categorical feature 3 #61,3705
1992-02-21,order categorical feature 1 #2,order categorical feature 2 #5625,order categorical feature 3 #44,2663
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #8483,order categorical feature 3 #385,7504
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #8483,order categorical feature 3 #126,899
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #5716,order categorical feature 3 #207,7580
